Crop,Soil Type,pH,Nitrogen (N) ppm,Potassium (K) ppm,Phosphorus (P) ppm,Season,Duration (Months)
Cotton,Alluvial Soil,6.3,47,31,23,Monsoon Season,6
Cotton,Alluvial Soil,6.2,43,29,22,Winter Season,6
Cotton,Alluvial Soil,6.4,46,32,23.5,Autumn Season,6
Cotton,Alluvial Soil,6.22,44,30.5,22.7,Summer Season,6
Cotton,Laterite Soil,6.25,37.5,25,17.5,Monsoon Season,5
Cotton,Laterite Soil,6.3,39,26,18,Summer Season,5
Cotton,Laterite Soil,6.2,36,24,17,Winter Season,5
Cotton,Laterite Soil,6.4,38,27,18.5,Autumn Season,5
Cotton,Laterite Soil,6.27,37,25.5,17.7,Monsoon Season,5
Cotton,Arid Soil,7.5,30,28,25,Winter Season,7
Cotton,Arid Soil,7.6,32,29,26,Summer Season,7
Cotton,Arid Soil,7.4,28,27,24,Autumn Season,7
Cotton,Arid Soil,7.55,31,29.5,25.5,Monsoon Season,7
Cotton,Arid Soil,7.45,29,28.5,24.8,Winter Season,7
Cotton,Red Soil,6.5,42,32,20,Autumn Season,4
Cotton,Red Soil,6.55,43,33,20.5,Summer Season,4
Cotton,Red Soil,6.45,41,31,19.5,Winter Season,4
Cotton,Red Soil,6.6,44,34,21,Monsoon Season,4
Cotton,Red Soil,6.52,42.5,32.5,20.2,Autumn Season,4
Cotton,Black Soil,7,52.5,35,27.5,Monsoon Season,6
Cotton,Black Soil,7.1,54,36,28,Winter Season,6
Cotton,Black Soil,6.9,51,34,27,Autumn Season,6
Cotton,Black Soil,7.05,53,35.5,27.8,Summer Season,6
Cotton,Black Soil,6.95,52,34.5,27.3,Monsoon Season,6
Groundnut,Alluvial Soil,6.25,40,25,22.5,Summer Season,3
Groundnut,Alluvial Soil,6.3,42,26,23,Monsoon Season,3
Groundnut,Alluvial Soil,6.2,38,24,22,Winter Season,3
Groundnut,Alluvial Soil,6.4,41,27,23.5,Autumn Season,3
Groundnut,Alluvial Soil,6.22,39,25.5,22.7,Summer Season,3
Groundnut,Marsh Soil,6.25,35,22,21,Monsoon Season,4
Groundnut,Marsh Soil,6.3,37,23,21.5,Summer Season,4
Groundnut,Marsh Soil,6.2,33,21,20,Winter Season,4
Groundnut,Marsh Soil,6.4,36,24,21.8,Autumn Season,4
Groundnut,Marsh Soil,6.27,34,22.5,21.2,Monsoon Season,4
Barley,Alluvial Soil,6.25,45,30,22.5,Winter Season,4
Barley,Alluvial Soil,6.3,47,31,23,Monsoon Season,4
Barley,Alluvial Soil,6.2,43,29,22,Summer Season,4
Barley,Alluvial Soil,6.4,46,32,23.5,Autumn Season,4
Barley,Alluvial Soil,6.22,44,30.5,22.7,Winter Season,4
Barley,Arid Soil,7.5,30,28,25,Summer Season,3
Barley,Arid Soil,7.6,32,29,26,Winter Season,3
Barley,Arid Soil,7.4,28,27,24,Autumn Season,3
Barley,Arid Soil,7.55,31,29.5,25.5,Monsoon Season,3
Barley,Arid Soil,7.45,29,28.5,24.8,Summer Season,3
Maize,Alluvial Soil,6.25,52.5,35,32.5,Monsoon Season,4
Maize,Alluvial Soil,6.3,54,36,33,Summer Season,4
Maize,Alluvial Soil,6.2,51,34,32,Winter Season,4
Maize,Alluvial Soil,6.4,53,37,33.5,Autumn Season,4
Maize,Alluvial Soil,6.22,52,35.5,32.7,Monsoon Season,4
Maize,Arid Soil,7.5,37.5,30,21,Summer Season,3
Maize,Arid Soil,7.6,39,31,22,Winter Season,3
Maize,Arid Soil,7.4,36,29,20,Autumn Season,3
Maize,Arid Soil,7.55,38,31.5,21.5,Monsoon Season,3
Maize,Arid Soil,7.45,37,30.5,21.2,Summer Season,3
Maize,Marsh Soil,6.25,45,32,25,Winter Season,5
Maize,Marsh Soil,6.3,47,33,26,Summer Season,5
Maize,Marsh Soil,6.2,43,31,24,Autumn Season,5
Maize,Marsh Soil,6.4,46,34,26.5,Monsoon Season,5
Maize,Marsh Soil,6.22,44,32.5,25.2,Winter Season,5
Millets,Arid Soil,7.5,37.5,30,25,Summer Season,3
Millets,Arid Soil,7.6,39,31,26,Winter Season,3
Millets,Arid Soil,7.4,36,29,24,Autumn Season,3
Millets,Arid Soil,7.55,38,31.5,25.5,Monsoon Season,3
Millets,Arid Soil,7.45,37,30.5,25.2,Summer Season,3
Millets,Red Soil,6.5,45,35,20,Monsoon Season,4
Millets,Red Soil,6.55,46,36,20.5,Summer Season,4
Millets,Red Soil,6.45,44,34,19.5,Winter Season,4
Millets,Red Soil,6.6,47,37,21,Autumn Season,4
Millets,Red Soil,6.52,45.5,35.5,20.2,Monsoon Season,4
Millets,Black Soil,7,52.5,42.5,32.5,Winter Season,5
Millets,Black Soil,7.1,54,44,33,Summer Season,5
Millets,Black Soil,6.9,51,41,32,Autumn Season,5
Millets,Black Soil,7.05,53,43,32.8,Monsoon Season,5
Millets,Black Soil,6.95,52,42,32.3,Winter Season,5
Sugarcane,Black Soil,7,60,45,42.5,Monsoon Season,12
Sugarcane,Black Soil,7.1,62,47,43.5,Winter Season,12
Sugarcane,Black Soil,6.9,58,43,41.5,Summer Season,12
Sugarcane,Black Soil,7.05,61,46,42.8,Autumn Season,12
Sugarcane,Black Soil,6.95,60.5,45.5,42.2,Monsoon Season,12
Sugarcane,Red Soil,6.5,67.5,50,47.5,Winter Season,10
Sugarcane,Red Soil,6.55,69,51,48,Summer Season,10
Sugarcane,Red Soil,6.45,66,49,47,Autumn Season,10
Sugarcane,Red Soil,6.6,68,52,48.5,Monsoon Season,10
Sugarcane,Red Soil,6.52,67.8,50.5,47.8,Winter Season,10
Sugarcane,Alluvial Soil,6.25,52.5,40,32.5,Summer Season,14
Sugarcane,Alluvial Soil,6.3,54,41,33,Monsoon Season,14
Sugarcane,Alluvial Soil,6.2,51,39,32,Winter Season,14
Sugarcane,Alluvial Soil,6.4,53,42,33.5,Autumn Season,14
Sugarcane,Alluvial Soil,6.22,52.2,40.5,32.8,Summer Season,14
Carrot,Red Soil,6.5,45,45,29.5,Winter Season,4
Carrot,Red Soil,6.55,46,46,30,Summer Season,4
Carrot,Red Soil,6.45,44,44,29,Autumn Season,4
Carrot,Red Soil,6.6,47,47,30.5,Monsoon Season,4
Carrot,Red Soil,6.52,45.5,45.5,29.8,Winter Season,4
Carrot,Mountainous Soil,5.9,52.5,52.5,37.5,Summer Season,3
Carrot,Mountainous Soil,5.95,53,53,38,Monsoon Season,3
Carrot,Mountainous Soil,5.85,52,52,37,Winter Season,3
Carrot,Mountainous Soil,6,54,54,38.5,Autumn Season,3
Carrot,Mountainous Soil,5.92,52.8,52.8,37.8,Summer Season,3
Potatoes,Red Soil,6.5,60,60,45,Monsoon Season,5
Potatoes,Red Soil,6.55,61,61,46,Winter Season,5
Potatoes,Red Soil,6.45,59,59,44,Summer Season,5
Potatoes,Red Soil,6.6,62,62,47,Autumn Season,5
Potatoes,Red Soil,6.52,60.5,60.5,45.5,Monsoon Season,5
Potatoes,Marsh Soil,6.25,52.5,52.5,37.5,Winter Season,4
Potatoes,Marsh Soil,6.3,53,53,38,Summer Season,4
Potatoes,Marsh Soil,6.2,52,52,37,Monsoon Season,4
Potatoes,Marsh Soil,6.4,54,54,38.5,Autumn Season,4
Potatoes,Marsh Soil,6.22,52.2,52.2,37.8,Winter Season,4
Tea,Laterite Soil,5.9,60,60,52.5,Monsoon Season,6
Tea,Laterite Soil,5.95,61,61,53,Winter Season,6
Tea,Laterite Soil,5.85,59,59,52,Summer Season,6
Tea,Laterite Soil,6,62,62,54,Autumn Season,6
Tea,Laterite Soil,5.92,60.5,60.5,52.8,Monsoon Season,6
Tea,Mountainous Soil,6.05,67.5,67.5,57.5,Winter Season,7
Tea,Mountainous Soil,6.1,68,68,58,Summer Season,7
Tea,Mountainous Soil,6,67,67,57,Monsoon Season,7
Tea,Mountainous Soil,6.15,69,69,58.5,Autumn Season,7
Tea,Mountainous Soil,6.03,67.2,67.2,57.8,Winter Season,7
Bajra,Alluvial Soil,6.75,45,45,30,Summer Season,4
Bajra,Alluvial Soil,6.8,46,46,31,Monsoon Season,4
Bajra,Alluvial Soil,6.7,44,44,29,Winter Season,4
Bajra,Alluvial Soil,6.85,47,47,32,Autumn Season,4
Bajra,Alluvial Soil,6.72,45.5,45.5,30.5,Summer Season,4
Bajra,Alluvial Soil,6.77,45.8,45.8,31.2,Monsoon Season,4
Bajra,Alluvial Soil,6.68,44.5,44.5,29.8,Winter Season,4
Bajra,Alluvial Soil,6.81,46.2,46.2,31.5,Autumn Season,4
Bajra,Alluvial Soil,6.79,46.5,46.5,31.8,Summer Season,4
Bajra,Alluvial Soil,6.73,45.2,45.2,30.2,Monsoon Season,4
Chickpea,Alluvial Soil,6.75,60,60,37.5,Monsoon Season,5
Chickpea,Alluvial Soil,6.8,61,61,38,Summer Season,5
Chickpea,Alluvial Soil,6.7,59,59,37,Winter Season,5
Chickpea,Alluvial Soil,6.85,62,62,38.5,Autumn Season,5
Chickpea,Alluvial Soil,6.72,60.5,60.5,38,Monsoon Season,5
Chickpea,Alluvial Soil,6.77,61.2,61.2,38.5,Summer Season,5
Chickpea,Alluvial Soil,6.68,59.5,59.5,37.8,Winter Season,5
Chickpea,Alluvial Soil,6.81,62.5,62.5,39,Autumn Season,5
Chickpea,Alluvial Soil,6.79,61.7,61.7,38.8,Monsoon Season,5
Chickpea,Alluvial Soil,6.73,60.2,60.2,37.9,Summer Season,5
Soybean,Alluvial Soil,6.75,52.5,52.5,45,Winter Season,6
Soybean,Alluvial Soil,6.8,53,53,45.5,Summer Season,6
Soybean,Alluvial Soil,6.7,51,51,44,Monsoon Season,6
Soybean,Alluvial Soil,6.85,54,54,46,Autumn Season,6
Soybean,Alluvial Soil,6.72,52.8,52.8,45.2,Winter Season,6
Soybean,Alluvial Soil,6.77,53.2,53.2,45.8,Summer Season,6
Soybean,Alluvial Soil,6.68,51.5,51.5,44.5,Monsoon Season,6
Soybean,Alluvial Soil,6.81,54.5,54.5,46.5,Autumn Season,6
Soybean,Alluvial Soil,6.79,54,54,46,Winter Season,6
Soybean,Alluvial Soil,6.73,52.3,52.3,45.3,Summer Season,6
Mustard,Alluvial Soil,6.75,37.5,37.5,52.5,Autumn Season,4
Mustard,Alluvial Soil,6.8,38,38,53,Summer Season,4
Mustard,Alluvial Soil,6.7,36.5,36.5,52,Winter Season,4
Mustard,Alluvial Soil,6.85,39,39,54,Monsoon Season,4
Mustard,Alluvial Soil,6.72,37.8,37.8,52.8,Autumn Season,4
Mustard,Alluvial Soil,6.77,38.2,38.2,53.5,Summer Season,4
Mustard,Alluvial Soil,6.68,36.8,36.8,52.2,Winter Season,4
Mustard,Alluvial Soil,6.81,39.5,39.5,54.5,Monsoon Season,4
Mustard,Alluvial Soil,6.79,39,39,54,Autumn Season,4
Mustard,Alluvial Soil,6.73,37.9,37.9,53,Summer Season,4
Sesame,Alluvial Soil,6.75,45,45,30,Summer Season,3
Sesame,Alluvial Soil,6.8,46,46,31,Monsoon Season,3
Sesame,Alluvial Soil,6.7,44,44,29,Winter Season,3
Sesame,Alluvial Soil,6.85,47,47,32,Autumn Season,3
Sesame,Alluvial Soil,6.72,45.5,45.5,30.5,Summer Season,3
Sesame,Alluvial Soil,6.77,46.2,46.2,31.2,Monsoon Season,3
Sesame,Alluvial Soil,6.68,44.5,44.5,29.8,Winter Season,3
Sesame,Alluvial Soil,6.81,47.5,47.5,32.5,Autumn Season,3
Sesame,Alluvial Soil,6.79,47,47,32,Summer Season,3
Sesame,Alluvial Soil,6.73,45.2,45.2,30.2,Monsoon Season,3
Jawar,Black Soil,7,60,60,45,Summer Season,4
Jawar,Black Soil,7.1,61,61,46,Monsoon Season,4
Jawar,Black Soil,6.9,59,59,44,Winter Season,4
Jawar,Black Soil,7.2,62,62,47,Autumn Season,4
Jawar,Black Soil,7.05,60.5,60.5,45.5,Summer Season,4
Jawar,Black Soil,6.95,59.5,59.5,44.5,Monsoon Season,4
Jawar,Black Soil,7.15,61.5,61.5,46.5,Winter Season,4
Jawar,Black Soil,7.08,60.8,60.8,45.8,Autumn Season,4
Jawar,Black Soil,7.25,63,63,48,Summer Season,4
Jawar,Black Soil,7.12,61.2,61.2,46.2,Monsoon Season,4
Citrus Fruits,Black Soil,7,52.5,52.5,37.5,Monsoon Season,5
Citrus Fruits,Black Soil,7.1,53,53,38,Summer Season,5
Citrus Fruits,Black Soil,6.9,51,51,37,Winter Season,5
Citrus Fruits,Black Soil,7.2,54,54,38.5,Autumn Season,5
Citrus Fruits,Black Soil,7.05,52.8,52.8,37.8,Monsoon Season,5
Citrus Fruits,Black Soil,6.95,51.5,51.5,36.5,Summer Season,5
Citrus Fruits,Black Soil,7.15,54.5,54.5,39,Winter Season,5
Citrus Fruits,Black Soil,7.08,53.2,53.2,38,Autumn Season,5
Citrus Fruits,Black Soil,7.25,55,55,39.5,Monsoon Season,5
Citrus Fruits,Black Soil,7.12,54.2,54.2,38.5,Summer Season,5
Sunflower,Black Soil,7,45,52.5,35,Winter Season,6
Sunflower,Black Soil,7.1,46,53,36,Summer Season,6
Sunflower,Black Soil,6.9,44,52,34,Monsoon Season,6
Sunflower,Black Soil,7.2,47,54,37,Autumn Season,6
Sunflower,Black Soil,7.05,45.5,53,35.5,Winter Season,6
Sunflower,Black Soil,6.95,44.5,51.5,34.5,Summer Season,6
Sunflower,Black Soil,7.15,47.5,54.5,37.5,Monsoon Season,6
Sunflower,Black Soil,7.08,46.2,53.2,36.2,Autumn Season,6
Sunflower,Black Soil,7.25,48,55,38,Winter Season,6
Sunflower,Black Soil,7.12,47,54.2,37,Summer Season,6
Linseed,Black Soil,7,37.5,60,52.5,Autumn Season,4
Linseed,Black Soil,7.1,38,61,53,Summer Season,4
Linseed,Black Soil,6.9,36.5,59,52,Winter Season,4
Linseed,Black Soil,7.2,39,62,54,Monsoon Season,4
Linseed,Black Soil,7.05,37.8,60.5,52.8,Autumn Season,4
Bananas,Red Soil,6.5,60,60,45,Summer Season,6
Bananas,Red Soil,6.6,61,61,46,Monsoon Season,6
Bananas,Red Soil,6.4,59,59,44,Winter Season,6
Bananas,Red Soil,6.7,62,62,47,Autumn Season,6
Bananas,Red Soil,6.5,60.5,60.5,45.5,Summer Season,6
Bananas,Red Soil,6.5,61.5,61.5,46.5,Monsoon Season,6
Bananas,Red Soil,6.4,59.5,59.5,44.5,Winter Season,6
Bananas,Red Soil,6.6,62.5,62.5,47.5,Autumn Season,6
Bananas,Red Soil,6.7,63,63,48,Summer Season,6
Bananas,Red Soil,6.6,61.7,61.7,46.7,Monsoon Season,6
Pineapples,Red Soil,6.5,52.5,52.5,37.5,Monsoon Season,7
Pineapples,Red Soil,6.6,53,53,38,Summer Season,7
Pineapples,Red Soil,6.4,51,51,37,Winter Season,7
Pineapples,Red Soil,6.7,54,54,38.5,Autumn Season,7
Pineapples,Red Soil,6.5,52.8,52.8,37.8,Monsoon Season,7
Pineapples,Red Soil,6.5,53.2,53.2,38.2,Summer Season,7
Pineapples,Red Soil,6.4,51.5,51.5,37.5,Winter Season,7
Pineapples,Red Soil,6.7,54.5,54.5,39,Autumn Season,7
Pineapples,Red Soil,6.7,55,55,39.5,Monsoon Season,7
Pineapples,Red Soil,6.6,53.5,53.5,38.2,Summer Season,7
Avocados,Red Soil,6.5,45,52.5,30,Winter Season,8
Avocados,Red Soil,6.6,46,53,31,Summer Season,8
Avocados,Red Soil,6.4,44,52,29,Monsoon Season,8
Avocados,Red Soil,6.7,47,54,32,Autumn Season,8
Avocados,Red Soil,6.5,45.5,53,30.5,Winter Season,8
Avocados,Red Soil,6.5,46.5,53.5,31.5,Summer Season,8
Avocados,Red Soil,6.4,44.5,51.5,29.5,Monsoon Season,8
Avocados,Red Soil,6.7,47.5,54.5,32.5,Autumn Season,8
Avocados,Red Soil,6.7,48,55,33,Winter Season,8
Avocados,Red Soil,6.6,46.7,53.2,31.7,Summer Season,8
Beans,Red Soil,6.5,37.5,60,52.5,Autumn Season,5
Beans,Red Soil,6.6,38,61,53,Summer Season,5
Beans,Red Soil,6.4,36.5,59,52,Winter Season,5
Beans,Red Soil,6.7,39,62,54,Monsoon Season,5
Beans,Red Soil,6.5,37.8,60.5,52.8,Autumn Season,5
Beans,Red Soil,6.5,38.2,61.2,53.2,Summer Season,5
Beans,Red Soil,6.4,36.5,59.5,52.5,Winter Season,5
Beans,Red Soil,6.7,39.5,62.5,54.5,Monsoon Season,5
Beans,Red Soil,6.7,40,63,55,Autumn Season,5
Beans,Red Soil,6.6,38.5,61.5,53.5,Summer Season,5
Coffee,Laterite Soil,6.35,67.5,85,60,Summer Season,6
Coffee,Laterite Soil,6.4,68,86,61,Monsoon Season,6
Coffee,Laterite Soil,6.3,67,84,59,Winter Season,6
Coffee,Laterite Soil,6.45,68.5,86.5,61.5,Autumn Season,6
Coffee,Laterite Soil,6.37,67.8,85.2,60.2,Summer Season,6
Coffee,Laterite Soil,6.41,68.2,85.8,60.8,Monsoon Season,6
Coffee,Laterite Soil,6.32,67.5,84.5,59.5,Winter Season,6
Coffee,Laterite Soil,6.47,69,87,62,Autumn Season,6
Coffee,Laterite Soil,6.48,69.5,87.5,62.5,Summer Season,6
Coffee,Laterite Soil,6.36,67.7,85.5,60.5,Monsoon Season,6
Coffee,Mountainous Soil,6.05,75,95,67.5,Monsoon Season,7
Coffee,Mountainous Soil,6.1,76,96,68,Summer Season,7
Coffee,Mountainous Soil,6,74,94,67,Winter Season,7
Coffee,Mountainous Soil,6.15,77,97,68.5,Autumn Season,7
Coffee,Mountainous Soil,6.03,75.5,95.5,67.8,Monsoon Season,7
Coffee,Mountainous Soil,6.2,78,98,69,Summer Season,7
Coffee,Mountainous Soil,6.05,75,95,67.5,Winter Season,7
Coffee,Mountainous Soil,6.1,76.5,96.5,68.2,Autumn Season,7
Coffee,Mountainous Soil,6.03,75.2,95.2,67.7,Monsoon Season,7
Coffee,Mountainous Soil,6.08,75.8,95.8,68,Summer Season,7
Rice,Mountainous Soil,5.9,90,55,20,Autumn Season,7
Rice,Mountainous Soil,5.95,91,56,21,Autumn Season,7
Rice,Mountainous Soil,5.85,89,54,19,Autumn Season,7
Rice,Mountainous Soil,6,92,57,22,Autumn Season,7
Rice,Mountainous Soil,5.92,90.5,55.5,20.5,Autumn Season,7
Rice,Mountainous Soil,5.88,89.8,54.5,19.5,Autumn Season,7
Rice,Mountainous Soil,5.96,91.5,56.5,21.5,Autumn Season,7
Rice,Mountainous Soil,5.93,90.2,55.2,20.2,Autumn Season,7
Rice,Mountainous Soil,5.91,90,55,20,Autumn Season,7
Rice,Mountainous Soil,5.97,92,57,22,Autumn Season,7
Rice,Marsh Soil,5.95,95,58,25,Monsoon Season,5
Rice,Marsh Soil,6,96,59,26,Monsoon Season,5
Rice,Marsh Soil,5.9,94,57,24,Monsoon Season,5
Rice,Marsh Soil,5.97,96,59,25.5,Monsoon Season,5
Rice,Marsh Soil,5.92,95.5,58.5,25.2,Monsoon Season,5
Rice,Marsh Soil,5.98,96.5,59.5,26,Monsoon Season,5
Rice,Marsh Soil,5.93,94.5,57.5,24.5,Monsoon Season,5
Rice,Marsh Soil,5.91,94,57,24,Monsoon Season,5
Rice,Marsh Soil,5.99,97,60,26.5,Monsoon Season,5
Rice,Marsh Soil,5.94,95,58,25.3,Monsoon Season,5
Wheat,Alluvial Soil,6.25,45,30,22.5,Winter Season,6
Wheat,Alluvial Soil,6.3,46,31,23,Winter Season,6
Wheat,Alluvial Soil,6.2,44,29,22,Winter Season,6
Wheat,Alluvial Soil,6.28,45.5,30.5,23.5,Winter Season,6
Wheat,Alluvial Soil,6.22,44.5,29.5,22.5,Winter Season,6
Wheat,Alluvial Soil,6.26,45.2,30.2,23,Winter Season,6
Wheat,Alluvial Soil,6.24,45,30,22.7,Winter Season,6
Wheat,Alluvial Soil,6.29,46.2,31.2,23.2,Winter Season,6
Wheat,Alluvial Soil,6.23,44.8,29.8,22.8,Winter Season,6
Wheat,Alluvial Soil,6.27,45.8,30.8,23.3,Winter Season,6
Wheat,Black Soil,7,52.5,35,27.5,Monsoon Season,5
Wheat,Black Soil,7.1,53,36,28,Monsoon Season,5
Wheat,Black Soil,6.9,51,34,27,Monsoon Season,5
Wheat,Black Soil,7.2,54,37,28.5,Monsoon Season,5
Wheat,Black Soil,7.05,52.8,35.2,27.7,Monsoon Season,5
Wheat,Black Soil,6.95,51.5,34.5,27.2,Monsoon Season,5
Wheat,Black Soil,7.15,54.5,37.5,29,Monsoon Season,5
Wheat,Black Soil,7.08,53.2,36.2,28.2,Monsoon Season,5
Wheat,Black Soil,7.25,55,38,30,Monsoon Season,5
Wheat,Black Soil,7.12,54.2,37.2,29.2,Monsoon Season,5
Cotton,Black Soil,7,52.5,35,27.5,Monsoon Season,6
Cotton,Black Soil,7.1,53,36,28,Monsoon Season,6
Cotton,Black Soil,6.9,51,34,27,Monsoon Season,6
Cotton,Black Soil,7.2,54,37,28.5,Monsoon Season,6
Cotton,Black Soil,7.05,52.8,35.2,27.7,Monsoon Season,6
Cotton,Black Soil,6.95,51.5,34.5,27.2,Monsoon Season,6
Cotton,Black Soil,7.15,54.5,37.5,29,Monsoon Season,6
Cotton,Black Soil,7.08,53.2,36.2,28.2,Monsoon Season,6
Cotton,Black Soil,7.25,55,38,30,Monsoon Season,6
Cotton,Black Soil,7.12,54.2,37.2,29.2,Monsoon Season,6
Groundnut,Alluvial Soil,6.25,40,25,22.5,Summer Season,3
Groundnut,Alluvial Soil,6.3,41,26,23,Summer Season,3
Groundnut,Alluvial Soil,6.2,39,24,22,Summer Season,3
Groundnut,Alluvial Soil,6.28,40.5,25.5,23,Summer Season,3
Groundnut,Alluvial Soil,6.22,39.5,24.5,22.5,Summer Season,3
Groundnut,Alluvial Soil,6.26,40.2,25.2,22.7,Summer Season,3
Groundnut,Alluvial Soil,6.24,40,25,22.3,Summer Season,3
Groundnut,Alluvial Soil,6.29,41.2,26.2,23.2,Summer Season,3
Groundnut,Alluvial Soil,6.23,39.8,24.8,22.8,Summer Season,3
Groundnut,Alluvial Soil,6.27,40.8,25.8,23.3,Summer Season,3
Barley,Arid Soil,7.5,30,28,25,Summer Season,3
Barley,Arid Soil,7.6,31,29,26,Summer Season,3
Barley,Arid Soil,7.4,29,27,24,Summer Season,3
Barley,Arid Soil,7.7,32,30,27,Summer Season,3
Barley,Arid Soil,7.52,30.5,28.5,25.5,Summer Season,3
Barley,Arid Soil,7.48,29.8,27.8,24.8,Summer Season,3
Barley,Arid Soil,7.55,31.2,29.2,26.2,Summer Season,3
Barley,Arid Soil,7.53,31,29,26,Summer Season,3
Barley,Arid Soil,7.58,31.5,29.5,26.5,Summer Season,3
Barley,Arid Soil,7.45,29.5,27.5,24.5,Summer Season,3
Maize,Alluvial Soil,6.25,52.5,35,32.5,Monsoon Season,4
Maize,Alluvial Soil,6.3,53,36,33,Monsoon Season,4
Maize,Alluvial Soil,6.2,51,34,32,Monsoon Season,4
Maize,Alluvial Soil,6.28,53.2,35.5,33.5,Monsoon Season,4
Maize,Alluvial Soil,6.22,52,34.5,32.2,Monsoon Season,4
Maize,Alluvial Soil,6.26,52.8,35.2,32.7,Monsoon Season,4
Maize,Alluvial Soil,6.24,52.2,34.8,32.3,Monsoon Season,4
Maize,Alluvial Soil,6.29,53.5,36,33.2,Monsoon Season,4
Maize,Alluvial Soil,6.23,51.5,34.2,32,Monsoon Season,4
Maize,Alluvial Soil,6.27,53,35.8,32.8,Monsoon Season,4
Linseed,Black Soil,7,37.5,60,52.5,Autumn Season,4
Linseed,Black Soil,7.1,38,61,53.5,Autumn Season,4
Linseed,Black Soil,6.9,37,59,51.5,Autumn Season,4
Linseed,Black Soil,7.2,39,62,54.5,Autumn Season,4
Linseed,Black Soil,7.05,37.8,60.5,53,Autumn Season,4
Linseed,Black Soil,6.95,36.8,58.5,52,Autumn Season,4
Linseed,Black Soil,7.15,39.2,61.5,55,Autumn Season,4
Linseed,Black Soil,7.08,38.2,60.2,53.2,Autumn Season,4
Linseed,Black Soil,7.25,40,63,56,Autumn Season,4
Linseed,Black Soil,7.12,39.2,61.7,54,Autumn Season,4
Sunflower,Black Soil,7,45,52.5,35,Winter Season,6
Sunflower,Black Soil,7.1,46,53,36,Winter Season,6
Sunflower,Black Soil,6.9,44,52,34,Winter Season,6
Sunflower,Black Soil,7.2,47,54,37,Winter Season,6
