Crop,Soil Type,pH Loss,Nitrogen Loss (ppm),Phosphorus Loss (ppm),Potassium Loss (ppm),Duration (Months)
Rice,Mountainous Soil,0.4,12,6,14,6
Rice,Marsh Soil,0.2,8,4,10,5
Wheat,Alluvial Soil,0.3,9,5,11,5
Wheat,Black Soil,0.2,8,4,10,5
Wheat,Laterite Soil,0.4,12,6,14,5
Wheat,Arid Soil,0.5,15,7,17,5
Wheat,Red Soil,0.3,10,5,12,7
Bajra,Alluvial Soil,0.2,8,4,10,7
Chickpea,Alluvial Soil,0.3,10,5,12,7
Soybean,Alluvial Soil,0.2,8,4,10,7
Cotton,Alluvial Soil,0.4,12,6,14,7
Cotton,Laterite Soil,0.3,10,5,12,4
Cotton,Arid Soil,0.5,15,7,17,4
Cotton,Red Soil,0.4,12,6,14,4
Cotton,Black Soil,0.3,10,5,12,4
Mustard,Alluvial Soil,0.2,8,4,10,4
Groundnut,Alluvial Soil,0.3,10,5,12,6
Groundnut,Marsh Soil,0.4,12,6,14,6
Sesame,Alluvial Soil,0.2,8,4,10,6
Barley,Alluvial Soil,0.3,10,5,12,6
Barley,Arid Soil,0.5,15,7,17,6
Maize,Alluvial Soil,0.4,12,6,14,3
Maize,Arid Soil,0.3,10,5,12,3
Maize,Marsh Soil,0.2,8,4,10,3
Millets,Arid Soil,0.2,8,4,10,3
Millets,Red Soil,0.3,10,5,12,3
Millets,Black Soil,0.4,12,6,14,4
Sugarcane,Black Soil,0.3,10,5,12,4
Sugarcane,Red Soil,0.2,8,4,10,4
Sugarcane,Alluvial Soil,0.4,12,6,14,4
Jawar,Black Soil,0.4,12,6,14,4
Citrus Fruits,Black Soil,0.3,10,5,12,4
Sunflower,Black Soil,0.2,8,4,10,4
Linseed,Black Soil,0.3,10,5,12,4
Bananas,Red Soil,0.4,12,6,14,4
Pineapples,Red Soil,0.3,10,5,12,4
Avocados,Red Soil,0.2,8,4,10,3
Carrots,Red Soil,0.3,10,5,12,3
Carrots,Mountainous Soil,0.5,15,7,17,3
Potatoes,Red Soil,0.3,12,6,14,3
Potatoes,Marsh Soil,0.4,15,7,17,3
Beans,Red Soil,0.2,8,4,10,4
Corn,Red Soil,0.3,10,5,12,4
Corn,Mountainous Soil,0.5,18,9,20,4
Tea,Laterite Soil,0.2,8,4,10,4
Tea,Mountainous Soil,0.3,10,5,12,4
Coffee,Laterite Soil,0.4,12,6,14,3
Coffee,Mountainous Soil,0.2,8,4,10,3
Rice,Alluvial Soil,0.2,8,4,10,3
Rice,Black Soil,0.3,10,5,12,3
Rice,Laterite Soil,0.1,6,3,8,3
Rice,Mountainous Soil,0.4,12,6,14,5
Citrus Fruits,Black Soil,0.3,10,5,12,5
Sunflower,Black Soil,0.2,8,4,10,5
Linseed,Black Soil,0.3,10,5,12,5
Bananas,Red Soil,0.4,12,6,14,5
Pineapples,Red Soil,0.3,10,5,12,3
Avocados,Red Soil,0.2,8,4,10,3
Carrots,Red Soil,0.3,10,5,12,3
Carrots,Mountainous Soil,0.5,15,7,17,3
Potatoes,Red Soil,0.3,12,6,14,3
Potatoes,Marsh Soil,0.4,15,7,17,4
Beans,Red Soil,0.2,8,4,10,4
Corn,Red Soil,0.3,10,5,12,4
Corn,Mountainous Soil,0.5,18,9,20,4
Tea,Laterite Soil,0.2,8,4,10,4
Tea,Mountainous Soil,0.3,10,5,12,5
Coffee,Laterite Soil,0.4,12,6,14,5
Coffee,Mountainous Soil,0.2,8,4,10,5
Rice,Alluvial Soil,0.2,8,4,10,5
Rice,Black Soil,0.3,10,5,12,5
Rice,Laterite Soil,0.1,6,3,8,12
Rice,Mountainous Soil,0.4,12,6,14,12
Rice,Marsh Soil,0.2,8,4,10,12
Wheat,Alluvial Soil,0.3,9,5,11,12
Wheat,Black Soil,0.2,8,4,10,12
Wheat,Laterite Soil,0.4,12,6,14,10
Millets,Black Soil,0.4,12,6,14,10
Sugarcane,Black Soil,0.3,10,5,12,10
Sugarcane,Red Soil,0.2,8,4,10,10
Sugarcane,Alluvial Soil,0.4,12,6,14,10
Jawar,Black Soil,0.4,12,6,14,14
Citrus Fruits,Black Soil,0.3,10,5,12,14
Sunflower,Black Soil,0.2,8,4,10,14
Linseed,Black Soil,0.3,10,5,12,14
Bananas,Red Soil,0.4,12,6,14,14
Pineapples,Red Soil,0.3,10,5,12,4
Avocados,Red Soil,0.2,8,4,10,4
Carrots,Red Soil,0.3,10,5,12,4
Carrots,Mountainous Soil,0.5,15,7,17,4
Potatoes,Red Soil,0.3,12,6,14,4
Potatoes,Marsh Soil,0.4,15,7,17,3
Beans,Red Soil,0.2,8,4,10,3
Corn,Red Soil,0.3,10,5,12,3
Corn,Mountainous Soil,0.5,18,9,20,3
Tea,Laterite Soil,0.2,8,4,10,3
Tea,Mountainous Soil,0.3,10,5,12,5
Coffee,Laterite Soil,0.4,12,6,14,5
Coffee,Mountainous Soil,0.2,8,4,10,5
Rice,Alluvial Soil,0.2,8,4,10,5
Rice,Black Soil,0.3,10,5,12,5
Rice,Laterite Soil,0.1,6,3,8,4
Rice,Mountainous Soil,0.4,12,6,14,4
Rice,Marsh Soil,0.2,8,4,10,4
Wheat,Alluvial Soil,0.3,9,5,11,4
Wheat,Black Soil,0.2,8,4,10,4
Wheat,Laterite Soil,0.4,12,6,14,6
Wheat,Arid Soil,0.5,15,7,17,6
Wheat,Red Soil,0.3,10,5,12,6
Bajra,Alluvial Soil,0.2,8,4,10,6
Chickpea,Alluvial Soil,0.3,10,5,12,6
Soybean,Alluvial Soil,0.2,8,4,10,7
Cotton,Alluvial Soil,0.4,12,6,14,7
Cotton,Laterite Soil,0.3,10,5,12,7
Cotton,Arid Soil,0.5,15,7,17,7
Cotton,Red Soil,0.4,12,6,14,7
Cotton,Black Soil,0.3,10,5,12,4
Mustard,Alluvial Soil,0.2,8,4,10,4
Groundnut,Alluvial Soil,0.3,10,5,12,4
Groundnut,Marsh Soil,0.4,12,6,14,4
Sesame,Alluvial Soil,0.2,8,4,10,4
Barley,Alluvial Soil,0.3,10,5,12,4
Barley,Arid Soil,0.5,15,7,17,4
Maize,Alluvial Soil,0.4,12,6,14,4
Maize,Arid Soil,0.3,10,5,12,4
Maize,Marsh Soil,0.2,8,4,10,4
Millets,Arid Soil,0.2,8,4,10,5
Millets,Red Soil,0.3,10,5,12,5
Millets,Black Soil,0.4,12,6,14,5
Sugarcane,Black Soil,0.3,10,5,12,5
Sugarcane,Red Soil,0.2,8,4,10,5
Sugarcane,Alluvial Soil,0.4,12,6,14,5
Jawar,Black Soil,0.4,12,6,14,5
Citrus Fruits,Black Soil,0.3,10,5,12,5
Sunflower,Black Soil,0.2,8,4,10,5
Linseed,Black Soil,0.3,10,5,12,5
Bananas,Red Soil,0.4,12,6,14,6
Pineapples,Red Soil,0.3,10,5,12,6
Avocados,Red Soil,0.2,8,4,10,6
Carrots,Red Soil,0.3,10,5,12,6
Carrots,Mountainous Soil,0.5,15,7,17,6
Potatoes,Red Soil,0.3,12,6,14,6
Potatoes,Marsh Soil,0.4,15,7,17,6
Beans,Red Soil,0.2,8,4,10,6
Corn,Red Soil,0.3,10,5,12,6
Corn,Mountainous Soil,0.5,18,9,20,6
Tea,Laterite Soil,0.2,8,4,10,4
Tea,Mountainous Soil,0.3,10,5,12,4
Coffee,Laterite Soil,0.4,12,6,14,4
Coffee,Mountainous Soil,0.2,8,4,10,4
Rice,Alluvial Soil,0.2,8,4,10,4
Rice,Black Soil,0.3,10,5,12,4
Rice,Laterite Soil,0.1,6,3,8,4
Rice,Mountainous Soil,0.4,12,6,14,4
Citrus Fruits,Black Soil,0.3,10,5,12,4
Sunflower,Black Soil,0.2,8,4,10,4
Linseed,Black Soil,0.3,10,5,12,3
Bananas,Red Soil,0.4,12,6,14,3
Pineapples,Red Soil,0.3,10,5,12,3
Avocados,Red Soil,0.2,8,4,10,3
Carrots,Red Soil,0.3,10,5,12,3
Carrots,Mountainous Soil,0.5,15,7,17,3
Potatoes,Red Soil,0.3,12,6,14,3
Potatoes,Marsh Soil,0.4,15,7,17,3
Beans,Red Soil,0.2,8,4,10,3
Corn,Red Soil,0.3,10,5,12,3
Corn,Mountainous Soil,0.5,18,9,20,4
Tea,Laterite Soil,0.2,8,4,10,4
Tea,Mountainous Soil,0.3,10,5,12,4
Coffee,Laterite Soil,0.4,12,6,14,4
Coffee,Mountainous Soil,0.2,8,4,10,4
Rice,Alluvial Soil,0.2,8,4,10,4
Rice,Black Soil,0.3,10,5,12,4
Rice,Laterite Soil,0.1,6,3,8,4
Rice,Mountainous Soil,0.4,12,6,14,4
Rice,Marsh Soil,0.2,8,4,10,4
Wheat,Alluvial Soil,0.3,9,5,11,5
Wheat,Black Soil,0.2,8,4,10,5
Wheat,Laterite Soil,0.4,12,6,14,5
Millets,Black Soil,0.4,12,6,14,5
Sugarcane,Black Soil,0.3,10,5,12,5
Sugarcane,Red Soil,0.2,8,4,10,5
Sugarcane,Alluvial Soil,0.4,12,6,14,5
Jawar,Black Soil,0.4,12,6,14,5
Citrus Fruits,Black Soil,0.3,10,5,12,5
Sunflower,Black Soil,0.2,8,4,10,5
Linseed,Black Soil,0.3,10,5,12,6
Bananas,Red Soil,0.4,12,6,14,6
Pineapples,Red Soil,0.3,10,5,12,6
Avocados,Red Soil,0.2,8,4,10,6
Carrots,Red Soil,0.3,10,5,12,6
Carrots,Mountainous Soil,0.5,15,7,17,6
Potatoes,Red Soil,0.3,12,6,14,6
Potatoes,Marsh Soil,0.4,15,7,17,6
Beans,Red Soil,0.2,8,4,10,6
Corn,Red Soil,0.3,10,5,12,6
Corn,Mountainous Soil,0.5,18,9,20,4
Tea,Laterite Soil,0.2,8,4,10,4
Tea,Mountainous Soil,0.3,10,5,12,4
Coffee,Laterite Soil,0.4,12,6,14,4
Coffee,Mountainous Soil,0.2,8,4,10,4
Rice,Alluvial Soil,0.2,8,4,10,6
Rice,Black Soil,0.3,10,5,12,6
Rice,Laterite Soil,0.1,6,3,8,6
Rice,Mountainous Soil,0.4,12,6,14,6
Rice,Marsh Soil,0.2,8,4,10,6
Wheat,Alluvial Soil,0.3,9,5,11,6
Wheat,Black Soil,0.2,8,4,10,6
Wheat,Laterite Soil,0.4,12,6,14,6
Wheat,Arid Soil,0.5,15,7,17,6
Wheat,Red Soil,0.3,10,5,12,6
Bajra,Alluvial Soil,0.2,8,4,10,7
Chickpea,Alluvial Soil,0.3,10,5,12,7
Soybean,Alluvial Soil,0.2,8,4,10,7
Cotton,Alluvial Soil,0.4,12,6,14,7
Cotton,Laterite Soil,0.3,10,5,12,7
Cotton,Arid Soil,0.5,15,7,17,7
Cotton,Red Soil,0.4,12,6,14,7
Cotton,Black Soil,0.3,10,5,12,7
Mustard,Alluvial Soil,0.2,8,4,10,7
Groundnut,Alluvial Soil,0.3,10,5,12,7
Groundnut,Marsh Soil,0.4,12,6,14,8
Sesame,Alluvial Soil,0.2,8,4,10,8
Barley,Alluvial Soil,0.3,10,5,12,8
Barley,Arid Soil,0.5,15,7,17,8
Maize,Alluvial Soil,0.4,12,6,14,8
Maize,Arid Soil,0.3,10,5,12,8
Maize,Marsh Soil,0.2,8,4,10,8
Millets,Arid Soil,0.2,8,4,10,8
Millets,Red Soil,0.3,10,5,12,8
Millets,Black Soil,0.4,12,6,14,8
Sugarcane,Black Soil,0.3,10,5,12,5
Sugarcane,Red Soil,0.2,8,4,10,5
Sugarcane,Alluvial Soil,0.4,12,6,14,5
Jawar,Black Soil,0.4,12,6,14,5
Citrus Fruits,Black Soil,0.3,10,5,12,5
Sunflower,Black Soil,0.2,8,4,10,5
Linseed,Black Soil,0.3,10,5,12,5
Bananas,Red Soil,0.4,12,6,14,5
Pineapples,Red Soil,0.3,10,5,12,5
Avocados,Red Soil,0.2,8,4,10,5
Carrots,Red Soil,0.3,10,5,12,6
Carrots,Mountainous Soil,0.5,15,7,17,6
Potatoes,Red Soil,0.3,12,6,14,6
Potatoes,Marsh Soil,0.4,15,7,17,6
Beans,Red Soil,0.2,8,4,10,6
Corn,Red Soil,0.3,10,5,12,6
Corn,Mountainous Soil,0.5,18,9,20,6
Tea,Laterite Soil,0.2,8,4,10,6
Tea,Mountainous Soil,0.3,10,5,12,6
Coffee,Laterite Soil,0.4,12,6,14,6
Coffee,Mountainous Soil,0.2,8,4,10,7
Rice,Alluvial Soil,0.2,8,4,10,7
Rice,Black Soil,0.3,10,5,12,7
Rice,Laterite Soil,0.1,6,3,8,7
Rice,Mountainous Soil,0.4,12,6,14,7
Citrus Fruits,Black Soil,0.3,10,5,12,7
Sunflower,Black Soil,0.2,8,4,10,7
Linseed,Black Soil,0.3,10,5,12,7
Bananas,Red Soil,0.4,12,6,14,7
Pineapples,Red Soil,0.3,10,5,12,7
Avocados,Red Soil,0.2,8,4,10,7
Carrots,Red Soil,0.3,10,5,12,7
Carrots,Mountainous Soil,0.5,15,7,17,7
Potatoes,Red Soil,0.3,12,6,14,7
Potatoes,Marsh Soil,0.4,15,7,17,7
Beans,Red Soil,0.2,8,4,10,7
Corn,Red Soil,0.3,10,5,12,7
Corn,Mountainous Soil,0.5,18,9,20,7
Tea,Laterite Soil,0.2,8,4,10,7
Tea,Mountainous Soil,0.3,10,5,12,7
Coffee,Laterite Soil,0.4,12,6,14,5
Coffee,Mountainous Soil,0.2,8,4,10,5
Rice,Alluvial Soil,0.2,8,4,10,5
Rice,Black Soil,0.3,10,5,12,5
Rice,Laterite Soil,0.1,6,3,8,5
Rice,Mountainous Soil,0.4,12,6,14,5
Rice,Marsh Soil,0.2,8,4,10,5
Wheat,Alluvial Soil,0.3,9,5,11,5
Wheat,Black Soil,0.2,8,4,10,5
Wheat,Laterite Soil,0.4,12,6,14,5
Millets,Black Soil,0.4,12,6,14,6
Sugarcane,Black Soil,0.3,10,5,12,6
Sugarcane,Red Soil,0.2,8,4,10,6
Sugarcane,Alluvial Soil,0.4,12,6,14,6
Jawar,Black Soil,0.4,12,6,14,6
Citrus Fruits,Black Soil,0.3,10,5,12,6
Sunflower,Black Soil,0.2,8,4,10,6
Linseed,Black Soil,0.3,10,5,12,6
Bananas,Red Soil,0.4,12,6,14,6
Pineapples,Red Soil,0.3,10,5,12,6
Avocados,Red Soil,0.2,8,4,10,5
Carrots,Red Soil,0.3,10,5,12,5
Carrots,Mountainous Soil,0.5,15,7,17,5
Potatoes,Red Soil,0.3,12,6,14,5
Potatoes,Marsh Soil,0.4,15,7,17,5
Beans,Red Soil,0.2,8,4,10,5
Corn,Red Soil,0.3,10,5,12,5
Corn,Mountainous Soil,0.5,18,9,20,5
Tea,Laterite Soil,0.2,8,4,10,5
Tea,Mountainous Soil,0.3,10,5,12,5
Coffee,Laterite Soil,0.4,12,6,14,6
Coffee,Mountainous Soil,0.2,8,4,10,6
Rice,Alluvial Soil,0.2,8,4,10,6
Rice,Black Soil,0.3,10,5,12,6
Rice,Laterite Soil,0.1,6,3,8,6
Rice,Mountainous Soil,0.4,12,6,14,6
Rice,Marsh Soil,0.2,8,4,10,6
Wheat,Alluvial Soil,0.3,9,5,11,6
Wheat,Black Soil,0.2,8,4,10,6
Wheat,Laterite Soil,0.4,12,6,14,6
Wheat,Arid Soil,0.5,15,7,17,3
Wheat,Red Soil,0.3,10,5,12,3
Bajra,Alluvial Soil,0.2,8,4,10,3
Chickpea,Alluvial Soil,0.3,10,5,12,3
Soybean,Alluvial Soil,0.2,8,4,10,3
Cotton,Alluvial Soil,0.4,12,6,14,3
Cotton,Laterite Soil,0.3,10,5,12,3
Cotton,Arid Soil,0.5,15,7,17,3
Cotton,Red Soil,0.4,12,6,14,3
Cotton,Black Soil,0.3,10,5,12,3
Mustard,Alluvial Soil,0.2,8,4,10,3
Groundnut,Alluvial Soil,0.3,10,5,12,3
Groundnut,Marsh Soil,0.4,12,6,14,3
Sesame,Alluvial Soil,0.2,8,4,10,3
Barley,Alluvial Soil,0.3,10,5,12,3
Barley,Arid Soil,0.5,15,7,17,3
Maize,Alluvial Soil,0.4,12,6,14,3
Maize,Arid Soil,0.3,10,5,12,3
Maize,Marsh Soil,0.2,8,4,10,3
Millets,Arid Soil,0.2,8,4,10,3
Millets,Red Soil,0.3,10,5,12,4
Millets,Black Soil,0.4,12,6,14,4
Sugarcane,Black Soil,0.3,10,5,12,4
Sugarcane,Red Soil,0.2,8,4,10,4
Sugarcane,Alluvial Soil,0.4,12,6,14,4
Jawar,Black Soil,0.4,12,6,14,4
Citrus Fruits,Black Soil,0.3,10,5,12,4
Sunflower,Black Soil,0.2,8,4,10,4
Linseed,Black Soil,0.3,10,5,12,4
Bananas,Red Soil,0.4,12,6,14,4
Pineapples,Red Soil,0.3,10,5,12,4
Avocados,Red Soil,0.2,8,4,10,4
Carrots,Red Soil,0.3,10,5,12,4
Carrots,Mountainous Soil,0.5,15,7,17,4
Potatoes,Red Soil,0.3,12,6,14,4
Potatoes,Marsh Soil,0.4,15,7,17,4
Beans,Red Soil,0.2,8,4,10,4
Corn,Red Soil,0.3,10,5,12,4
Corn,Mountainous Soil,0.5,18,9,20,4
Tea,Laterite Soil,0.2,8,4,10,4
Tea,Mountainous Soil,0.3,10,5,12,6
Coffee,Laterite Soil,0.4,12,6,14,6
Coffee,Mountainous Soil,0.2,8,4,10,6
Coffee,Laterite Soil,0.4,12,6,14,6
Coffee,Mountainous Soil,0.2,8,4,10,6
Rice,Alluvial Soil,0.2,8,4,10,6
Rice,Black Soil,0.3,10,5,12,6
Rice,Laterite Soil,0.1,6,3,8,6
Rice,Mountainous Soil,0.4,12,6,14,6
Citrus Fruits,Black Soil,0.3,10,5,12,6
Sunflower,Black Soil,0.2,8,4,10,5
Linseed,Black Soil,0.3,10,5,12,5
Bananas,Red Soil,0.4,12,6,14,5
Pineapples,Red Soil,0.3,10,5,12,5
Avocados,Red Soil,0.2,8,4,10,5
Carrots,Red Soil,0.3,10,5,12,5
Carrots,Mountainous Soil,0.5,15,7,17,5
Potatoes,Red Soil,0.3,12,6,14,5
Potatoes,Marsh Soil,0.4,15,7,17,5
Beans,Red Soil,0.2,8,4,10,5
Corn,Red Soil,0.3,10,5,12,6
Corn,Mountainous Soil,0.5,18,9,20,6
Tea,Laterite Soil,0.2,8,4,10,6
Tea,Mountainous Soil,0.3,10,5,12,6
Coffee,Laterite Soil,0.4,12,6,14,6
Coffee,Mountainous Soil,0.2,8,4,10,6
Rice,Alluvial Soil,0.2,8,4,10,6
Rice,Black Soil,0.3,10,5,12,6
Rice,Laterite Soil,0.1,6,3,8,6
Rice,Mountainous Soil,0.4,12,6,14,6
Rice,Marsh Soil,0.2,8,4,10,4
Wheat,Alluvial Soil,0.3,9,5,11,4
Wheat,Black Soil,0.2,8,4,10,4
Wheat,Laterite Soil,0.4,12,6,14,4
Millets,Black Soil,0.4,12,6,14,4
Sugarcane,Black Soil,0.3,10,5,12,4
Sugarcane,Red Soil,0.2,8,4,10,4
Sugarcane,Alluvial Soil,0.4,12,6,14,4
Jawar,Black Soil,0.4,12,6,14,4
Citrus Fruits,Black Soil,0.3,10,5,12,4
Sunflower,Black Soil,0.2,8,4,10,4
Linseed,Black Soil,0.3,10,5,12,4
Bananas,Red Soil,0.4,12,6,14,4
Pineapples,Red Soil,0.3,10,5,12,4
Avocados,Red Soil,0.2,8,4,10,4
Carrots,Red Soil,0.3,10,5,12,4
Carrots,Mountainous Soil,0.5,15,7,17,4
Potatoes,Red Soil,0.3,12,6,14,4
Potatoes,Marsh Soil,0.4,15,7,17,4
Beans,Red Soil,0.2,8,4,10,4
Corn,Red Soil,0.3,10,5,12,6
Corn,Mountainous Soil,0.5,18,9,20,6
Tea,Laterite Soil,0.2,8,4,10,6
Tea,Mountainous Soil,0.3,10,5,12,6
Coffee,Laterite Soil,0.4,12,6,14,6
Coffee,Mountainous Soil,0.2,8,4,10,6
Rice,Alluvial Soil,0.2,8,4,10,6
Rice,Black Soil,0.3,10,5,12,6
Rice,Laterite Soil,0.1,6,3,8,6
Rice,Mountainous Soil,0.4,12,6,14,6
Rice,Marsh Soil,0.2,8,4,10,6
Wheat,Alluvial Soil,0.3,9,5,11,6
Wheat,Black Soil,0.2,8,4,10,6
Wheat,Laterite Soil,0.4,12,6,14,6
Wheat,Arid Soil,0.5,15,7,17,6
Wheat,Red Soil,0.3,10,5,12,6
Bajra,Alluvial Soil,0.2,8,4,10,6
Chickpea,Alluvial Soil,0.3,10,5,12,6
Soybean,Alluvial Soil,0.2,8,4,10,6
Cotton,Alluvial Soil,0.4,12,6,14,6
Cotton,Laterite Soil,0.3,10,5,12,5
Cotton,Arid Soil,0.5,15,7,17,5
Cotton,Red Soil,0.4,12,6,14,5
Cotton,Black Soil,0.3,10,5,12,5
Mustard,Alluvial Soil,0.2,8,4,10,5
Groundnut,Alluvial Soil,0.3,10,5,12,5
Groundnut,Marsh Soil,0.4,12,6,14,5
Sesame,Alluvial Soil,0.2,8,4,10,5
Barley,Alluvial Soil,0.3,10,5,12,5
Barley,Arid Soil,0.5,15,7,17,5
Maize,Alluvial Soil,0.4,12,6,14,5
Maize,Arid Soil,0.3,10,5,12,5
Maize,Marsh Soil,0.2,8,4,10,5
Millets,Arid Soil,0.2,8,4,10,5
Millets,Red Soil,0.3,10,5,12,5
Millets,Black Soil,0.4,12,6,14,5
Sugarcane,Black Soil,0.3,10,5,12,5
Sugarcane,Red Soil,0.2,8,4,10,5
Sugarcane,Alluvial Soil,0.4,12,6,14,5
Jawar,Black Soil,0.4,12,6,14,5
Citrus Fruits,Black Soil,0.3,10,5,12,5
Sunflower,Black Soil,0.2,8,4,10,5
Linseed,Black Soil,0.3,10,5,12,5
Bananas,Red Soil,0.4,12,6,14,5
Pineapples,Red Soil,0.3,10,5,12,5
Avocados,Red Soil,0.2,8,4,10,5
Carrots,Red Soil,0.3,10,5,12,5
